1.
2	{[STOP][文件无法打开]"^0"是应用程序不支持的文件格式。[OK]}
1303	{[STOP][长期授权不可用]长期授权仅适用于Reason年度订阅计划。[OK]}

1321	{[NOTE][下载Rack Extension代码]需要更新一个或多个Rack Extension以使用Apple Silicon处理器的代码。打开Companion下载后重新启动Reason。也可以不下载继续，但某些Rack Extensions将无法使用。（Rack Extension将在^0中失败。）[继续][打开Companion]}

1322	{[NOTE][重新启动]授权下载完成后，请保存工作并重新启动DAW。[OK]}

1323	{[NOTE][需要重新启动]请保存工作并重新启动DAW。Reason Rack Plugin在重新启动前将无声音。[OK]}
1324	{[NOTE][Reason未授权]Reason登录已取消。Reason Rack Plugin将无声音。请保存工作并重新启动DAW，然后再次登录。[OK]}

1325	{[STOP][授权缺失]您指定的用户帐户无权运行此版本的^0 (^1)。[帐户][OK]}
1326	{[STOP][无法登录]^0无法连接到授权服务器。请检查互联网连接或稍后重试。[OK]}
1327	{[STOP][无法登录]^0无法从授权服务器获得响应。可能表示服务器有问题。请稍后重试。[OK]}
1328	{[STOP][登录错误]发生错误（错误代码40309）。请联系支持。[OK]}
1329	{[NOTE][授权即将到期]此计算机已授权在^0之前离线（无互联网连接）运行Reason。如果您拥有有效的订阅或Reason许可证，请在连接到互联网的情况下重新启动Reason以更新授权。[OK]}
1330	{[NOTE][授权过期]此计算机的Reason授权已过期。要更新，请保存工作后退出DAW主机并重新启动，然后在连接到互联网的情况下打开Reason Rack Plugin。[OK]}
1331	{[STOP][系统时钟不匹配]计算机的系统时钟设置不正确。请检查日期和时间后重新启动。[退出]}
1332	{[NOTE][授权过期]此计算机的授权已过期。要刷新，请在连接到互联网的情况下重新启动Reason并登录。\rReason现在处于演示模式，这意味着您可以保存工作但无法打开文档。[OK]}
1333	{[WARN][云存储文件夹]此文件夹可以使用云存储。在线专用文件可能无法打开。因此，在添加为快捷方式之前，请确保该文件夹在离线时可用。[取消][继续]}
1334	{[WARN][设备元数据]无法加载自定义设备元数据。文件"^0"可能已损坏或权限错误。\r\r在此会话中，部分或全部自定义设备元数据将不可用。[OK］}
1335	{[WARN][设备元数据]无法将自定义设备元数据保存到磁盘。请检查文件"^0"或其父目录的权限。\r\t之前更改的设备元数据将在下次会话中不可用。[OK]}
1336	{[WARN][重复标签名]标签名'^0'已被使用。请输入其他标签名。[OK］}













2.
301	{[STOP][读取节奏失败]速度影响低于最小范围。[OK]}
302	{[STOP]读取节奏失败]速度影响超出最大范围。[OK]}
303	{[STOP][读取节奏失败]时间影响低于最小范围。[OK]}
304	{[STOP][读取节奏失败]时间影响超出最大范围。[OK]}
305	{[STOP][读取节奏失败]音符长度影响低于最小范围。[OK]}
306	{[STOP][读取节奏失败]音符长度影响超出最大范围。[OK]}
307	{[STOP][读取节奏失败]分子无效。[OK]}
308	{[STOP][读取节奏失败]分母无效。[OK]}
309	{[STOP][读取节奏失败]小节长度低于最小范围。[OK]}
310	{[STOP][读取节奏失败]小节长度超出范围。[OK]}

311	{[STOP][读取节奏失败]音符的^0位置不同。[OK]}
312	{[STOP][读取节奏失败]音符的^0位置超出范围。[OK]}
313	{[STOP][读取节奏失败]音符的^0长度不同。[OK]}
314	{[STOP][读取节奏失败]音符的^0长度过长。[OK]}
315	{[STOP][读取节奏失败]音符的^0速度过小。[OK]}
316	{[STOP][Groove import failed]音符的^0速度过大。[OK]}
317	{[STOP][读取节奏失败]音符的^0长度过短。[OK]}
318	{[STOP][读取节奏失败]音符的^0长度过长。[OK]}

321	{[STOP][读取节奏失败]随机刻度低于最小范围。[OK]}
322	{[STOP][读取节奏失败]随机刻度超出范围。[OK]}

340	{[NOTE][节奏设置重复]T轨道上有不同的节奏设置。音符将保持当前节奏。[Cancel][OK]}





3.
5	{[STOP][Failed running process]Failed to start a subprocess.[OK]}








4.
1	{[STOP]Remote系统的适当设置失败。[结束]}
2	{[STOP]Remote系统的适当设置失败。[结束]}
3	{[STOP]Remote系统的适当设置失败。[结束]}







5.
1	{[STOP]注册表: (^0) 中一个或多个文件的添加失败。[OK]}






6.
0	{[STOP][内存不足]无法确保足够的内存容量，因此无法完成操作。[OK]}
3	{[STOP][磁盘空间不足]磁盘上没有足够的空闲空间，因此无法完成操作。[OK]}
4	{[STOP][文件未找到]找不到文件，因此无法完成操作。[OK]}
6	{[STOP][文件已损坏]文件已损坏，因此无法完成操作。[OK]}
7	{[STOP][未知的文件格式]文件格式未知，因此无法完成操作。[OK]}
8	{[STOP][读取错误]数据读取时发生错误，因此无法完成操作。[OK]}
9	{[STOP][写入错误]数据写入时发生错误，因此无法完成操作。[OK]}
10	{[STOP][媒体异常]驱动器或媒体有问题，因此无法完成操作。[OK]}
12	{[STOP][发生不可恢复的错误]数据处理过程中发生错误，操作已中断，且无法恢复到以前的状态。[OK]}
13	{[STOP][写入错误]文件写入未被允许，因此无法完成操作。[OK]}
14-Mac	{[STOP][引用目标不明]找不到别名的引用目标，因此无法完成操作。[OK]}
14-Win	{[STOP][引用目标不明]找不到快捷方式的引用目标，因此无法完成操作。[OK]}
15	{[STOP][无法打开文件夹]无法打开文件夹，因此无法完成操作。[OK]}
16	{[STOP][Resource in use]The Operation could not be completed because the resource was not available.[OK]}
17	{[STOP][访问被拒绝]设备访问被拒绝，因此无法完成操作。[OK]}
18	{[STOP][网络路径不存在]指定的网络路径不存在，因此无法完成操作。[OK]}
19	{[STOP][系统引用文件缺失]Windows系统发生“an item cannot be found”错误，因此无法完成操作。[OK]}
20	{[STOP][文件系统未找到]Windows系统发生“the file system object was not found”错误，因此无法完成操作。[OK]}
22	{[STOP][帮助文件发生错误]无法打开在线帮助。请检查帮助文件是否正确安装。[OK]}
23	{[STOP][样本数据异常]样本数据无法正确加载，因此无法完成操作。[OK]}
25	{[STOP][Audio Driver busy]The Operation could not be completed because the audio driver is not responding.[OK]}
26	{[STOP][Device driver busy]The Operation could not be completed because the device driver is not responding.[OK]}
27	{[STOP][Plugin window busy]The Operation could not be completed because the plugin window is not responding.[OK]}
28	{[STOP][File/directory is busy]The Operation could not be completed because the file/directory is in use.[OK]}
29	{[STOP][Shell item busy]The Operation could not be completed because the item was busy.[OK]}
30	{[STOP][Resource in use]The Operation could not be completed because the resource was busy.[OK]}












7.
1 (
	{新建} [id=50003] [shortcut='N']
	{从模板新建}	( // 列出模板文档的子菜单标题
		{} [id=28]	// 模板文档名称的占位符
		{-}
		{显示模板文件夹} [id=281]
	)
	{-}
	{打开…} [id=50004] [shortcut='O']
	{打开演示歌曲} [id=35]
	{关闭} [id=50005] [shortcut='W']
	{-}
	{保存} [id=50006] [shortcut='S']
	{另存为…} [id=50007] [shortcut='S'] Mac:[modifiers=Cmd|Shift] Win:[modifiers=Ctrl|Shift]
	{保存并优化} [id=25]
	{-}
	{歌曲信息…} [id=16]
	{歌曲自包含设置…} [id=26]
	{-}
	{导入音频文件…} [id=30] [shortcut='I'] Mac:[modifiers=Cmd|Option] Win:[modifiers=Ctrl|Shift]
	{导入MIDI文件…} [id=18]
	{导出MIDI文件…} [id=19]
	{保存设备音色为…} [id=20]
	{导出歌曲为音频文件…} [id=21]
	{导出循环为音频文件…} [id=22]
	{混音器通道导出…} [id=29]
	{导出REX为MIDI文件…} [id=23]
	{导出设备远程信息…} [id=33]
)

3 (
	{撤销} [id=50009] [shortcut='Z']
	{重做} [id=50010] [shortcut='Y']
	{-}
	{剪切} [id=50011] [shortcut='X']
	{复制} [id=50012] [shortcut='C']
	{粘贴} [id=50013] [shortcut='V']
	{清除} [id=50014]
	{全选} [id=50015] [shortcut='A']
	{复制} [id=100] [shortcut='D']
)

5 (
	{-}
	{查看主混音器} [id=301] [shortcut='f5' modifiers=none flags=visual-only-modifier]
	{查看机架} [id=302] [shortcut='f6' modifiers=none flags=visual-only-modifier]
	{查看音序器} [id=303] [shortcut='f7' modifiers=none flags=visual-only-modifier]
	{} [id=304] [shortcut='f5']	// 分离/附加主窗口命令，标题将由应用程序设置
	{} [id=305] [shortcut='f6']	// 分离/附加机架窗口命令，标题将由应用程序设置
	{查看全部} [id=306] [shortcut='f7']
	{-}
	{管理插件} [id=316]
	{机架扩展} [id=311]
	{-}
	{} [id=318] [shortcut='f3' modifiers=none]	// 显示/隐藏设备面板命令，标题将由应用程序设置
	{} [id=313] [shortcut='f9' modifiers=none]	// 显示/隐藏浏览器命令，标题将由应用程序设置
	{} [id=315]					// 显示/隐藏传输，标题将由应用程序设置
	{} [id=307]					// 显示/隐藏Groove混音器，标题将由应用程序设置
	{} [id=319] [shortcut='f8' modifiers=none]  // 显示/隐藏编辑区域，标题将由应用程序设置
	{-}
	{} [id=308]					// 显示/隐藏工具窗口命令，标题将由应用程序设置
	{} [id=309] [shortcut='f4' modifiers=none]	// 显示/隐藏屏幕钢琴键命令，标题将由应用程序设置
	{} [id=312] [shortcut='f2' modifiers=none]	// 显示/隐藏频谱EQ命令，标题将由应用程序设置
	{} [id=310]	[shortcut='f3'] Mac:[modifiers=Cmd] Win:[modifiers=Ctrl]	// 显示/隐藏录音表命令，标题将由应用程序设置
	{} [id=314]									// 显示/隐藏缺失声音命令，标题将由应用程序设置
)

7 (
	{} [id=500] Mac:[shortcut='?']	// 帮助项，标题将由应用程序设置
	{PDF格式的文档} [id=810]
	{-}
	{Reason Studios网站上的教程} [id=504]
	{-}
	{下载更多演示歌曲…} [id=27]
	{下载更多模板歌曲…} [id=814]
	{前往Reason Studios网站} [id=801]
	Win: {} [id=812]						// 更新菜单。标题将由应用程序设置。在Mac上，此菜单位于应用程序菜单中
	Win: {打开Reason Companion} [id=815]
	Win: {我的账户} [id=813]	// 在Mac上，此菜单命令位于应用程序（Reason）菜单中
	{-}
	{获取更多乐器、音色和效果} [id=809]
)

8 (
	{打开Reason Companion} [id=815]
	{我的账户} [id=813]
	{} [id=812]						// 更新菜单。标题将由应用程序设置。
	{-}
)

9 (
	{-}
	{退出并注销} [id=34]
)

11 {选项} (
	{同步} (
		{} [id=707]	// 所有同步选项的占位符
	)
	{-}
	{启用键盘控制} [id=705]
	{键盘控制编辑模式} [id=706]
	{-}
	{远程覆盖编辑模式} [id=710]
	{额外的远程覆盖…} [id=711]
	{-}
	{表面锁定…} [id=712]
	{-}
	{切换机架前/后} [id=715] [shortcut='tab' modifiers=none]
	{减少线缆混乱} [id=720] [shortcut='K' modifiers=none flags=visual-only-modifier]
	{自动分组设备和轨道} [id=724] [shortcut='G'] Mac:[modifiers=Cmd|Shift] Win:[modifiers=Ctrl|Shift]
	{-}
	{延迟补偿} [id=727]
	{-}
	{显示设备的CPU负载} [id=728]
	{-}
	{显示导航器} [id=721]
	{应用程序缩放} (
		{} [id=744]	// 所有缩放选项的占位符
	)
	{-}
	{在歌曲视图中显示块剪辑内容} [id=726]
	{编辑时保持事件在剪辑中} [id=735] [shortcut='K'] Mac:[modifiers=Cmd|Shift] Win:[modifiers=Ctrl|Shift]
	{自动为轨道和通道着色} [id=736]
	{录音期间量化音符} [id=734]
	{图形化反转音符} [id=739]
	{将自动化录制到音符剪辑中} [id=737]
	{预计数小节数} (
		{一} [id=730]
		{二} [id=731]
		{三} [id=732]
		{四} [id=733]
	)
	{-}
	{MIDI: 发送所有音符关闭} [id=738] [shortcut='!' modifiers=none flags=visual-only-modifier]
	{-}
	{启用块} [id=741]
	{切换到块视图} [id=742] [shortcut='B' modifiers=none flags=visual-only-modifier]
)

12 (
	{内部} [id=700]
	{MIDI时钟} [id=701]
	{Ableton Link} [id=702]		// Ableton Link同步模式。请勿翻译
	{-}
	{发送MIDI时钟} [id=704]
	{Ableton Link: 同步开始/停止} [id=708]
)

13 (
	{编辑自动化} [id=1000]
	{清除自动化} [id=1001]
	{-}
    {映射到组合控制} [id=1006]
	{编辑键盘控制映射…} [id=1002]
	{清除键盘控制映射} [id=1003]
	{编辑远程覆盖映射…} [id=1004]
	{清除远程覆盖映射} [id=1005]
)

15 (
	{剪切} [id=50011]
	{复制} [id=50012]
	{粘贴} [id=50013]
	{清除} [id=50014]
	{复制} [id=100]
	{-}
	{转到连接的设备} [id=1102]
	{创建} [id=1103]
	{-}
	{组合} [id=916]
	{取消组合} [id=917]
	{-}
	{转到产品页面} [id=808]
)

17 {创建} (
	{添加乐器…} [id=601] [shortcut='I']
	{添加效果…} [id=602] [shortcut='E'] Mac:[modifiers=Cmd] Win:[modifiers=Ctrl]
	{添加播放器…} [id=604]
	{添加音频轨道} [id=603] [shortcut='T']
	{添加混音通道} [id=605] [shortcut='M'] Mac:[modifiers=Cmd|Shift] Win:[modifiers=Ctrl|Shift]
	{在浏览器中查找} [id=606] [shortcut='F'] Mac:[modifiers=Cmd] Win:[modifiers=Ctrl]
	{-}
	{乐器设备} (
